Node1	Node2	PMID
rs559628884	fluoxetine	28494448
rs9332197	warfarin	19752777
rs351776	buprenorphine	27983768
rs351776	methadone	27983768
rs4818	propranolol	20216107
rs4818	quetiapine	26282453
rs4818	risperidone	28696411
rs2228014	bevacizumab	27503580
rs367398	allopurinol	29193002
rs28401781	citalopram	24192121
rs28401781	fluoxetine	24192121
rs28401781	paroxetine	24192121
rs28401781	sertraline	24192121
rs28845026	anastrozole	30648747
rs200148	amlodipine	25171760
rs200148	chlorthalidone	25171760
rs200148	lisinopril	25171760
rs11807862	hmg coa reductase inhibitors	24096969
rs11807862	atorvastatin	24096969
rs11807862	simvastatin	24096969
rs11782370	buprenorphine	34488071
rs12119882	capecitabine	28347776
rs1059778	antipsychotics	26323598
ulinastatin	rs243865	31192912
ulinastatin	rs3918242	31192912
rs72552763	mercaptopurine	35456416
rs72552763	proguanil	29882324
rs72552763	ranitidine	29236753
rs73748206	gemcitabine	23936393
rs553202	cotinine	23223006
rs553202	ethanol	18433502
rs553202	nicotine	23223006
paroxetine	rs11042725	19636336
paroxetine	rs1160351	22445761
paroxetine	rs762551	21121774;21593735
paroxetine	rs2470890	21121774
paroxetine	rs2472304	21121774
paroxetine	rs4646425	21121774
paroxetine	rs4646427	21121774
paroxetine	rs4680	18989660
paroxetine	rs6280	22926616
paroxetine	rs153549	22795047
paroxetine	rs153560	22795047
paroxetine	rs495794	22795047
paroxetine	rs1364043	18484082
paroxetine	rs2216711	24577123
paroxetine	rs2973049	24577123
paroxetine	rs10042486	18484082
paroxetine	rs130058	21449676
paroxetine	rs2235040	18215618;22641028
paroxetine	rs2235067	18215618
paroxetine	rs4148739	18215618;24192121
paroxetine	rs4148740	18215618
paroxetine	rs7787082	18215618
paroxetine	rs10248420	18215618
paroxetine	rs10280101	18215618
paroxetine	rs11983225	18215618
paroxetine	rs12720067	18215618
paroxetine	rs28401781	24192121
paroxetine	rs57098334	10683861
paroxetine	rs7905446	30874608
rs3892408	Antiinflammatory agents, non-steroids	26067486
rs1801266	tegafur	
rs1495741	Drugs For Treatment Of Tuberculosis	23407048;27104815
rs1495741	iguratimod	29517409
rs1495741	isoniazid	23407048
rs2465403	fluorouracil	22310351
rs4431329	hydrochlorothiazide	25695618
rs4645983	adalimumab	25712183
rs10739150	atenolol	26425837
rs16960228	diuretics	23753411
rs16960228	Thiazides, plain	23753411
rs16960228	hydrochlorothiazide	23753411
rs4986938	tamoxifen	17713466
imiquimod	rs179008	26556041
rs25648	adalimumab	28639493
rs25648	fluorouracil	24090479
rs25648	oxaliplatin	24090479
rs25648	cisplatin	24090479
rs25648	sorafenib	24510746
rs7104613	fentanyl	21622719
rs7104613	morphine	21622719
rs7104613	oxycodone	21622719
rs7104613	opioids	21622719
rs676210	fenofibrate	20724655
rs1008805	hmg coa reductase inhibitors	26463708
rs1008805	hdl cholesterol	26463708
rs1008805	letrozole	26463708
rs1367117	irbesartan	15453913
rs1367117	warfarin	31186542
rs2167270	cyclosporine	26282401
rs2167270	tacrolimus	26282401
doxorubicinol	rs20572	19016765
doxorubicinol	rs714368	17559346;20179710
doxorubicinol	rs6690497	18276838
doxorubicinol	rs2229540	18276838
rs2307240	clopidogrel	28775293
ceftriaxone	rs2273697	29873816
ceftriaxone	rs13120400	29873816
rs1143634	morphine	27649267
rs1143634	antipsychotics	25560300
rs1143634	infliximab	22960943;36621146
rs12081765	adalimumab	33124499
rs12081765	Tumor necrosis factor alpha (TNF-alpha) inhibitors	33124499
rs12081765	certolizumab pegol	33124499
rs12081765	etanercept	33124499
rs12081765	infliximab	33124499
tamsulosin	CYP2D6 extensive metabolizer genotype	29947950
rs150212784	ivacaftor	23891399
rs150212784	ivacaftor / tezacaftor	
rs150212784	elexacaftor / tezacaftor / ivacaftor	
rs7917983	hydrochlorothiazide	24128935
rs2270007	citalopram	17467808
dimethyl fumarate	rs1695	26967570
rs3024530	pitrakinra	22541248
rs6966038	citalopram	19846067
rs320	fenofibrate	19207029
rs12456693	clopidogrel	27981573;30487649
rs45605536	imatinib	24322003
rs45605536	dasatinib	24322003
rs140602333	capecitabine	
rs34186955	daunorubicin	20837989
rs34186955	doxorubicin	20837989
rs28374453	desmethylnaproxen	30822619
rs28374453	tapentadol	30822619
rs28374453	acetaminophen	30822619
rs7515157	glyburide	27403931
rs660652	Opium alkaloids and derivatives	20725741
rs7903366	salbutamol	33851947
tiludronate	rs16944	16257277
(S)-methadone	rs2279343	34482033
(S)-methadone	rs3745274	30907440
(S)-methadone	rs2740574	17178267
rs4760658	warfarin	29298995
rs2284017	lithium	18408563;21047205
rs1800734	dacarbazine	17959715
rs1800734	procarbazine	17959715
eltrombopag	rs6025	
rs7917432	tenofovir	25485598
rs1051685	platinum	26358256
rs1051685	thalidomide	21435719
rs10123866	duloxetine	29407288
rs4844880	tacrolimus	25587129
rs62621365	exemestane	27111237
rs7757130	fentanyl	21622719
rs7757130	morphine	21622719
rs7757130	oxycodone	21622719
rs7757130	opioids	21622719
rs757081	hydrochlorothiazide	31327267
vitamin b-complex, plain	rs1801133	22926161
vitamin b-complex, plain	rs1801394	22926161
rs3594	taxanes	26194361
rs3594	carboplatin	26194361
rs3852209	nicotine	17978999;24447405
rs10211524	antipsychotics	25209194
rs7311358	imatinib	25056761
rs7311358	mycophenolic acid	30992538
rs7311358	carboplatin	26641474;36988399
rs7311358	docetaxel	21995462
rs7311358	paclitaxel	26641474;36988399
rs7311358	warfarin	29234073
rs12777823	warfarin	23755828;25461246;26024874;26877068;28686080;31869433;36210801
cefotaxime	rs11568482	23649425
rs2948694	ethanol	18828808
rs9397685	fentanyl	24858579
rs9873889	duloxetine	29407288
rs11123469	antipsychotics	20877301
rs2216711	paroxetine	24577123
rs199755581	antiepileptics	35170024
rs2267076	methotrexate	18539621
rs2819742	cerivastatin	21386754
rs11045879	mercaptopurine	22846425
rs4646437	sunitinib	26810136
rs4646437	cisplatin	25829401
rs4646437	cyclosporine	25240575;28952408
rs4646437	doxorubicin	25829401
rs4646437	methadone	21902501
rs2514218	clozapine	26666695
rs5993883	quetiapine	26282453
rs795484	morphine	24909733
rs795484	opioids	30031856
rs16851030	aspirin	19019667
rs16851030	caffeine	22462821
rs5326	methadone	34476566
rs5326	methylphenidate	23856854
rs5051	benazepril	25143324
rs5051	hydrochlorothiazide	14735111
rs5051	imidapril	25143324
rs11572076	mycophenolate mofetil	21107304;24681964
rs79430272	fluorouracil	29593529
rs79430272	cyclophosphamide	29593529
rs79430272	epirubicin	29593529
avapritinib	rs121908585	
rs11580409	antidepressants	26903268;33230203;35878676
rs200562975	capecitabine	
rs3742879	Methyldopa	35971863
rs142421637	efavirenz	39218044
rs142421637	propofol	39218044
rs3115672	carboplatin	31616045
rs3115672	gemcitabine	31616045
rs1414334	antipsychotics	17016522;17632216;20680028
ombitasvir / paritaprevir / ritonavir	rs8099917	31144350
ombitasvir / paritaprevir / ritonavir	rs12979860	
rs4799915	iloperidone	18521091
rs61908410	duloxetine	29407288
rs772964366	nicotine	34476898
rs17102977	fluorouracil	33802237
rs17102977	anthracyclines and related substances	33802237
rs17102977	taxanes	33802237
rs17102977	cyclophosphamide	33802237
rs1319501	nitric oxide	33944612
rs146644707	capecitabine	28715540
rs499368	aspirin	20597903
rs2981582	sunitinib	23462807
rs2981582	pazopanib	25695485
rs4696480	Tumor necrosis factor alpha (TNF-alpha) inhibitors	24776844;28696418
rs4073054	sunitinib	23462807
rs70991108	Multivitamins, Plain	17413111
rs510317	warfarin	14656880;19387626
rs138616379	fluorouracil	24648345
rs138616379	capecitabine	
rs1678387	Bisphosphonates	22267851
rs3802279	methadone	31940240
rs1877724	warfarin	21192345;29054760
rs7927894	adalimumab	25712183
rs9977268	methotrexate	22450926
dacomitinib	rs121434568	
rs397508435	ivacaftor	23891399
rs1149222	anthracyclines and related substances	21900104;23441093
rs2231137	imatinib	24322003;30713339
rs2231137	dasatinib	24322003
rs2231137	nilotinib	24322003
rs2231137	resmetirom	
rs2231137	sorafenib	28289864
rs4925300	ziprasidone	22920393
rs9310657	duloxetine	29407288
rs4149056	ezetimibe	36804920
rs4149056	goserelin	27234217
rs4149056	gemtuzumab ozogamicin	22584460
rs4149056	SN-38	18221820
rs4149056	Glucarpidase	33788417
rs4149056	simvastatin acid	17108811;24598718;25446771;25673568;26164721;26367500;26774055;28350522;29469964
rs4149056	lovastatin acid	26020121;27967318
rs4149056	grazoprevir	31250727
rs4149056	elagolix	
rs4149056	atazanavir / ritonavir	31124411
rs4149056	amlodipine / atorvastatin / perindopril arginine	
rs4149056	letermovir	31022310
rs4149056	ezetimibe / simvastatin	
rs4149056	ezetimibe / rosuvastatin	
rs4149056	dulaglutide	36804920
rs4149056	amprenavir	23503447
rs4149056	carvedilol	36804920
rs4149056	cerivastatin	21386754;30250148
rs4149056	cyclophosphamide	27234217
rs4149056	cytarabine	22584460
rs4149056	diltiazem	36804920
rs4149056	docetaxel	27234217
rs4149056	doxorubicin	27234217
rs4149056	enalapril	26607661
rs4149056	epirubicin	27234217
rs4149056	erythromycin	22990751
rs4149056	fenofibrate	
rs4149056	fludarabine	22584460
rs4149056	fluoxetine	36804920
rs4149056	furosemide	36804920
rs4149056	glucose	29748863
rs4149056	idarubicin	22584460
rs4149056	lansoprazole	36804920
rs4149056	levothyroxine	36804920
rs4149056	lorazepam	36804920
rs4149056	repaglinide	18187595;29748863
rs4149056	rosiglitazone	27271184
rs4149056	tamoxifen	25701109
rs4149056	warfarin	36804920
rs4149056	sorafenib	27533851
latonduine a	rs113993960	27193581
rs6166	thyrotropin alfa	21121812;37824400
rs6166	menotropins	12356937;37824400
rs6166	follitropin beta	10999835;21121812;30829738;37824400
rs6166	gonadotropin,chorionic	16758348
rs6166	urofollitropin	10999835;21121812;30829738;37824400
rs121909011	roflumilast	38547757
rs121909011	ivacaftor	23891399;27812499
rs121909011	ivacaftor / lumacaftor	27334259
